id,name,base,contact,has_fare_table,routes,origin_areas,dest_areas,items,shapes,fare_note,memo,origin_markets,dest_markets
1,ベストブレーン ☆,青森県北津軽郡,金山社長（朝6時〜）,True,八戸→東北、八戸→北関東、八戸→関東,青森,青森、岩手、宮城、栃木、東京、埼玉、千葉、神奈川、富山、石川、福井、新潟、長野、愛知、大阪,野菜全般、果物全般、青果混載,バラ、コンテナ、箱積み,特定商材のみ運賃表あり,11時には八戸出発のため指示は早めに。空車状況により中京・関西・北陸・長野・新潟も可。,,
2,東北ロジスティクス,青森県八戸市,伊藤,False,八戸→東北、八戸→北関東、八戸→関東,青森,青森、岩手、宮城、福島、埼玉、千葉、東京、神奈川,野菜全般、果物全般、青果混載,バラ、コンテナ、箱積み,運賃表なし・ベストブレーンと同水準,ベストブレーンで行けないルートを網羅。断られたらこちらへ相談。,,
3,井之上運送,岩手県盛岡,沼田,False,盛岡⇆東北、盛岡⇆北関東、盛岡⇆関東,岩手、宮城、福島、茨城、栃木、群馬、埼玉、新潟,岩手、宮城、福島、茨城、栃木、群馬、埼玉、新潟,野菜全般、果物全般,バラ、コンテナ,運賃表なし,7〜10月は転送断られることも多い。ルート日々変わるので都度相談。,,
4,Tサポート,,坪,False,八戸→東北,青森,青森、岩手、宮城、山形,野菜全般、果物全般,バラ、コンテナ,運賃表なし,逆ルートも数量次第で応相談。,,
5,仙台中央配送市場卸売センター,宮城県仙台市,池田,True,仙台⇆東北管内、関東→東北（中継）,宮城、青森、岩手、秋田、山形,宮城、青森、岩手、秋田、山形,野菜全般、果物全般、青果混載、果物（冷蔵）,バラ、コンテナ、箱積み,運賃表あり,仙台に冷蔵庫あり・中継で一度に行けないコースも対応可。冷蔵庫のみ使用は冷蔵賃あり。関東→東北の中継はアローズ手配・専用ルールあり。売り日注意。,,
6,SHOKEN ☆,宮城県石巻,社長（朝8時〜11時頃）,False,石巻⇆関東、仙台⇆関東,宮城、東京、埼玉、千葉、神奈川,宮城、東京、埼玉、千葉、神奈川,野菜全般、果物全般,バラ、コンテナ,運賃表なし,大田以外の立ち寄りは要相談。盛岡は前日依頼なら引き取り可。,,
7,（有）丸巳運輸,宮城県石巻市,石川,False,東北管内、東北⇆関東,宮城、青森、岩手、秋田、山形、福島、東京、埼玉、千葉、神奈川、栃木、茨城、群馬,宮城、青森、岩手、秋田、山形、福島、東京、埼玉、千葉、神奈川、栃木、茨城、群馬,野菜全般、果物全般、青果混載,バラ、コンテナ、箱積み,運賃表なし,,,
8,（有）臼井,宮城県東松島市,,False,北関東⇆石巻,宮城、群馬、栃木、茨城、千葉,宮城、群馬、栃木、茨城、千葉,野菜全般、果物全般,バラ、コンテナ,運賃表なし,,,
9,福島青果運輸倉庫（有）,福島県福島市,,False,福島⇆仙台、福島⇆北関東、福島⇆関東,福島、宮城、栃木、茨城、東京,福島、宮城、栃木、茨城、東京,野菜全般、果物全般,バラ、コンテナ、箱積み,運賃表なし　例）福島→関東 5kg:¥80,⚠️ いつも行けるルートでもFAX前に必ず電話で問い合わせること。問い合わせなしのFAX不可。,,
10,（有）庄司急送,福島県いわき市,社長,False,平果⇆東北、平果⇆北関東、平果⇆関東,福島、宮城、栃木、群馬、茨城、東京,福島、宮城、栃木、群馬、茨城、東京,野菜全般、果物全般,バラ、コンテナ,運賃表なし　例）平果発着 5kg:¥60,ルート外でも平果がらみなら相談可。運賃ダブルで2日運航（例：石巻→郡山）も相談可。,,
11,新産運送 ☆,新潟県長岡市,竹野（朝）/ 野本（夕方・延着時）,True,北陸管内、新潟⇆群馬、新潟⇆関東,新潟、富山、石川、群馬、埼玉、東京、神奈川,新潟、富山、石川、群馬、埼玉、東京、神奈川,野菜全般、果物全般、青果混載,バラ、コンテナ、箱積み,運賃表あり,FAX確認はLINE。時期によっては名古屋・関西も。北陸⇆関東は運賃ダブルの2日運航なら相談可。,,
12,水郷とちぎ,栃木県宇都宮市,田澤部長,False,栃木⇆関東,栃木、埼玉、東京、神奈川,栃木、埼玉、東京、神奈川,野菜全般、果物全般、青果混載,バラ、コンテナ、箱積み,運賃表なし,⚠️ 田澤部長の携帯への問い合わせは午前中厳禁（事務所は可）。宇都宮到着遅め。,,
13,久保田倉庫運輸,群馬県,辻,False,群馬⇆関東,群馬、埼玉、東京、神奈川、栃木,群馬、埼玉、東京、神奈川、栃木,野菜全般、果物全般,コンテナ、箱積み,運賃表なし,東京・埼玉・横浜・宇都宮方面は週2回。基本要相談。,,
14,（有）叶野運送,茨城県水戸市,押手,False,茨城⇆栃木,茨城、栃木,茨城、栃木,野菜全般、果物全般,バラ、コンテナ,運賃表なし　例）茨城⇆宇都宮 5kg:¥50,,,
15,（有）丸昇運輸 ☆,群馬県前橋市,笠井,False,群馬⇆関東,群馬、埼玉、東京、神奈川,群馬、埼玉、東京、神奈川,野菜全般、果物全般、青果混載,バラ、コンテナ、箱積み,運賃表なし・交渉可能,FAX確認はLINE。日・火・木は花の日のため件数回れない。板橋でアローズとの中継相談可。,,
16,長野フロー ☆,長野県長野市,西堀・和田・平林・丸山,True,長野→長野管内、長野→北関東、長野→関東、長野→中京、長野→関西、長野→北陸,長野,長野、栃木、茨城、群馬、埼玉、東京、神奈川、千葉、愛知、大阪、京都、富山、石川、福井、新潟,野菜全般、果物全般、青果混載、葉物野菜、根菜類、果菜類,バラ、コンテナ、パレット、箱積み,運賃表あり,FAX確認はLINE。退社15分前までは指示書・送り状を3Fスキャン。松本→関東は1日困難・運賃ダブル。豊島板橋行きは備考に「旭印」と明記。,,
17,R&C物流 松本営業所,長野県松本市,小林,False,松本⇆長野、松本⇆諏訪、松本⇆北関東、松本⇆関東、松本⇆中京,長野、栃木、茨城、群馬、埼玉、東京、神奈川、愛知,長野、栃木、茨城、群馬、埼玉、東京、神奈川、愛知,野菜全般、果物全般,バラ、コンテナ、箱積み,運賃表なし（交渉可能）,指示書と一緒に送り状が必要。R&C松本の先方車。,,
18,豊商事,新宿,藤巻（午前9時以降）,False,関東⇆長野,東京、埼玉、神奈川、千葉、長野,東京、埼玉、神奈川、千葉、長野,野菜全般、果物全般,バラ、コンテナ,運賃表なし　例）関東→長野 5k:¥100/10k:¥120/15k:¥150/20k:¥180,午前中電話は朝9時以降。,,
19,シコク青果高速長野支社,長野市真島町,養田,True,長野→北陸、長野→岡山、長野→高松、長野→松山、長野→徳島,長野,長野、富山、石川、福井、岡山、香川、愛媛、徳島,野菜全般、果物全般、青果混載,コンテナ、箱積み,運賃表あり,指示書と一緒に送り状が必要。北陸行はフローより運賃安い。（2日運航）,,
20,みゆき野運輸,,嘉生・山崎,False,長野→東北、長野→関東、長野→北陸、長野→中京,長野,長野、山形、宮城、福島、東京、埼玉、神奈川、富山、石川、福井、愛知,野菜全般、果物全般,バラ、コンテナ、箱積み,運賃表なし,指示書と一緒に送り状が必要。フローが行けない東北方向も対応可。積極的に提案を。,,
21,飯田市場運輸,長野県飯田市,,False,松本⇆飯田市場、名北→飯田市場,長野、愛知,長野、愛知,野菜全般、果物全般,バラ、コンテナ,運賃表なし　1kg:¥18,名北中継可能。名北中継の場合は置き場所を必ず「1C11柱」に指示。,,
22,富山市場運輸,富山県富山市,,True,富山⇆中京,富山、愛知、岐阜,富山、愛知、岐阜,野菜全般、果物全般,コンテナ、箱積み,運賃表あり（問い合わせで運賃を聞かないこと）,荷捌き宛先は「アローズ」に変更。指示書は3Fスキャンへ。FAX確認はLINE。運送確認は10時半以降。昼頃出発のため指示は早めに。,,
23,上田運送,福井県坂井市,玉川,True,北陸→中京,石川、福井,石川、福井、愛知、岐阜,野菜全般、果物全般,コンテナ、箱積み,運賃表あり,名北中継可能。北陸→中京は翌日販売OK。中京→北陸は延着する。,,
